Supporting Information for CO2 Rise Directly Impairs Crop Nutritional Quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data S1: Input Database, see Data S2 for details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By S.F. ter Haar*, P.M. van Bodegom, and L. Scherer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Institute of Environmental Sciences (CML), Leiden University, Leiden, The Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*email: s.f.ter.haar@cml.leidenuniv.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientific Name,Family,Genus,Species,Cultivar,Common Name,Photosynthetic Pathway,Tissue,Study Type,Plot Type,Elevated CO2,Ambient CO2,Added CO2,Additional Info,Elevated temperature,Irrigation,Sowing Time,Phosphorous application,Nitrogen application,Ozone,Year,Latitude,Longitude,Country,Reference,n,element,delta,ln r,Origin,Year Published
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2013,-36.749167,142.113889,Australia,Jin et al 2019,4,Cu,0.04,0.039220713,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2013,-36.749167,142.113889,Australia,Jin et al 2019,4,Zn,0.040498442,0.03969987,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2015,-36.749167,142.113889,Australia,Jin et al 2019,4,Fe,0.041551247,0.040711185,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2015,-36.749167,142.113889,Australia,Jin et al 2019,4,Ca,0.04359673,0.042673141,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2013,-36.749167,142.113889,Australia,Jin et al 2019,4,P,0.046208531,0.045172706,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2013,-36.749167,142.113889,Australia,Jin et al 2019,4,P,0.046969697,0.045899989,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2013,-36.749167,142.113889,Australia,Jin et al 2019,4,Mn,0.046979866,0.045909701,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2015,-36.749167,142.113889,Australia,Jin et al 2019,4,K,0.056497175,0.054958884,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2015,-36.749167,142.113889,Australia,Jin et al 2019,4,Mn,0.0625,0.060624622,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2013,-36.749167,142.113889,Australia,Jin et al 2019,4,K,0.062737643,0.06084826,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2013,-36.749167,142.113889,Australia,Jin et al 2019,4,Ca,0.080745342,0.077650934,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2015,-36.749167,142.113889,Australia,Jin et al 2019,4,Mg,0.099315068,0.094687321,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2015,-36.749167,142.113889,Australia,Jin et al 2019,4,K,0.105515588,0.100311821,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2015,-36.749167,142.113889,Australia,Jin et al 2019,4,Mn,0.130584192,0.122734484,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2013,-36.749167,142.113889,Australia,Jin et al 2019,4,K,0.136842105,0.128254336,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2013,-36.749167,142.113889,Australia,Jin et al 2019,4,K,0.142614601,0.133319146,snowball,2019
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2015,-36.749167,142.113889,Australia,Jin et al 2019,4,P,0.15629742,0.145223021,snowball,2019
Lactuca sativa 'Oak Leaf',Asteraceae,Lactuca,sativa,Oak Leaf,lettuce,C3,shoot,chamber,pot,700,400,300,,,,,,,,,,,,Perez-Lopez et al 2015a,6,Fe,-0.385786804,-0.487413186,snowball,2015
Brassica napus 'Hyola 50',Brassicaceae,Brassica,napus,Hyola 50,canola,C3,seed,FACE,field,550,390,160,,,,,,,,2015,-36.749167,142.113889,Australia,Jin et al 2019,4,Ca,0.177248677,0.163180087,snowball,2019
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,Zn,-0.410381679,-0.528279866,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,Zn,-0.360310699,-0.446772688,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,S,-0.31884058,-0.383958903,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,Cu,-0.315789474,-0.379489622,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,K,-0.329949239,-0.400401806,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,K,-0.305716121,-0.364874354,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,Ca,-0.282051282,-0.331357136,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,S,-0.293814433,-0.347877233,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,B,-0.269323671,-0.313784696,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,Ca,-0.262135922,-0.303995648,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,N,-0.109467456,-0.115935631,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,Fe,-0.092643052,-0.097219358,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,N,-0.083573487,-0.087273397,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,Mg,-0.06185567,-0.063851472,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,Mn,-0.047180243,-0.048329526,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,Fe,-0.034761236,-0.035379784,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,P,-0.02020202,-0.020408872,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,Mn,0.041456381,0.0406201,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,P,0.049295775,0.048119248,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,Mg,0.070422535,0.068053463,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,C,0.143445436,0.134046017,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,388.71,191.29,,,,,,,,2010/2011,28.583333,77.2,India,Saha et al 2015,10,Cu,0.145695364,0.136011758,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,C,0.191470054,0.175187885,snowball,2015
Cicer arietinum 'Pusa 1105',Fabaceae,Cicer,arietinum,Pusa 1105,chickpea,C3,seed,OTC,field,580,390.57,189.43,,,,,,,,2011/2012,28.583333,77.2,India,Saha et al 2015,10,B,0.438118812,0.363335879,snowball,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Mn,0,0,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Ca,0,0,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Mn,0,0,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Ca,-0.230769231,-0.262364264,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Cu,-0.229166667,-0.260283098,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Phyt,-0.212168487,-0.238471028,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Mn,-0.134615385,-0.144581229,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Cu,-0.131313131,-0.140772554,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Fe,-0.127468582,-0.136356616,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Zn,-0.118644068,-0.126293725,Dietterich,2015
Lactuca sativa 'Blonde of Paris Batavia',Asteraceae,Lactuca,sativa,Blonde of Paris Batavia,lettuce,C3,shoot,chamber,pot,700,400,300,,,,,,,,,,,,Perez-Lopez et al 2015b,6,Fe,-0.361111111,-0.448024723,snowball,2015
Lactuca sativa 'Blonde of Paris Batavia',Asteraceae,Lactuca,sativa,Blonde of Paris Batavia,lettuce,C3,shoot,chamber,pot,700,400,300,,,,,,,,,,,,Perez-Lopez et al 2015b,6,Mn,-0.361111111,-0.448024723,snowball,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,N,-0.117283951,-0.124751705,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,N,-0.114893617,-0.122047434,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,P,-0.095954845,-0.100875969,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Mg,-0.092436975,-0.096992266,Dietterich,2015
Solanum tuberosum 'Kufri chandramukhi',Solanaceae,Solanum,tuberosum,Kufri chandramukhi,potato,C3,tuber,OTC,field,570,382,188,,,,,,,50 ppb,,25.233333,82.05,India,Kumari and Agrawal 2014,6,Fe,-0.325396825,-0.39363065,snowball,2014
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Mg,-0.085106383,-0.088947486,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,P,-0.072186837,-0.074924899,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Zn,-0.072022161,-0.074747427,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Fe,-0.067047076,-0.069400536,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,P,-0.064139942,-0.066289324,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Mg,-0.053164557,-0.054629967,Dietterich,2015
Lactuca sativa 'Blonde of Paris Batavia',Asteraceae,Lactuca,sativa,Blonde of Paris Batavia,lettuce,C3,shoot,chamber,pot,700,400,300,200 NaCl,,,,,,,,,,,Perez-Lopez et al 2015a,6,Fe,-0.354679807,-0.438008663,snowball,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,P,-0.049212598,-0.050464794,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Cu,-0.040540541,-0.041385216,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Phyt,-0.035413153,-0.036055408,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,K,-0.031007752,-0.031498667,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,K,-0.03030303,-0.030771659,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Zn,-0.029294274,-0.02973192,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Mn,-0.026490066,-0.02684725,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,K,-0.024193548,-0.02449102,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,K,-0.021428571,-0.021661497,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Fe,-0.021276596,-0.021506205,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Phyt,-0.018835616,-0.019015266,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,S,-0.018134715,-0.018301164,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,B,-0.017045455,-0.017192401,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,N,-0.011019284,-0.011080446,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Fe,-0.010344828,-0.010398707,Dietterich,2015
Lactuca sativa 'Blonde of Paris Batavia',Asteraceae,Lactuca,sativa,Blonde of Paris Batavia,lettuce,C3,shoot,chamber,pot,700,400,300,200 NaCl,,,,,,,,,,,Perez-Lopez et al 2015a,6,Na,-0.342412452,-0.41917737,snowball,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,S,-0.010126582,-0.010178205,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Mg,0.005167959,0.005154651,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Zn,0.015604681,0.01548418,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Cu,0.028169014,0.027779564,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,B,0.028735632,0.028330507,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,S,0.035616438,0.034996842,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Phyt,0.046210721,0.045174799,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,medium,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,B,0.05625,0.0547249,Dietterich,2015
Zea mays 'DKC61-19',Poaceae,Zea,mays,DKC61-19,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Ca,0.0625,0.060624622,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,N,0.070680628,0.068294547,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,S,0.081395349,0.078252197,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,Ca,0.095238095,0.090971778,Dietterich,2015
Zea mays 'Cv34B43',Poaceae,Zea,mays,Cv34B43,maize,C4,seed,FACE,field,550,375,175,,,,,,low,,2008,40.1164,-88.2434,USA,Dietterich et al 2015,4,B,0.132183908,0.12414843,Dietterich,2015
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,innoculated,,drought,,,,,,,,,Goicoechea et al 2016,3,B,-0.666666667,-1.098612289,snowball,2016
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,innoculated,,drought,,,,,,,,,Goicoechea et al 2016,3,Fe,-0.590529248,-0.892889802,snowball,2016
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,innoculated,,well-watered,,,,,,,,,Goicoechea et al 2016,3,Ca,-0.533333333,-0.762140052,snowball,2016
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,innoculated,,drought,,,,,,,,,Goicoechea et al 2016,3,Zn,-0.505474453,-0.704156466,snowball,2016
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,innoculated,,drought,,,,,,,,,Goicoechea et al 2016,3,Mg,-0.5,-0.693147181,snowball,2016
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,innoculated,,drought,,,,,,,,,Goicoechea et al 2016,3,Mo,-0.5,-0.693147181,snowball,2016
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,innoculated,,drought,,,,,,,,,Goicoechea et al 2016,3,P,-0.457142857,-0.610909082,snowball,2016
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,not innoculated,,drought,,,,,,,,,Goicoechea et al 2016,3,B,-0.454545455,-0.606135804,snowball,2016
Brassica rapa 'Michico',Brassicaceae,Brassica,rapa,Michico,Chinese cabbage,C3,shoot,chamber,pot,800,420,380,,15/12,,,,,,,,,,Reich et al 2015,3,Mn,-0.31,-0.371063681,snowball,2015
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,not innoculated,,well-watered,,,,,,,,,Goicoechea et al 2016,3,B,-0.444444444,-0.587786665,snowball,2016
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,innoculated,,well-watered,,,,,,,,,Goicoechea et al 2016,3,Mn,-0.403743316,-0.517084026,snowball,2016
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,innoculated,,drought,,,,,,,,,Goicoechea et al 2016,3,Cu,-0.39,-0.494296322,snowball,2016
Solanum tuberosum 'Kufri chandramukhi',Solanaceae,Solanum,tuberosum,Kufri chandramukhi,potato,C3,tuber,OTC,field,570,382,188,,,,,,,50 ppb,,25.233333,82.05,India,Kumari and Agrawal 2014,6,N,-0.299997477,-0.356671339,snowball,2014
Triticum durum 'Amilcar',Poaceae,Triticum,durum,Amilcar,durum wheat,C3,grain,greenhouse,pot,700,392,308,not innoculated,,drought,,,,,,,,,Goicoechea et al 2016,3,Fe,-0.386748844,-0.488980711,snowball,2016
Solanum tuberosum 'Kufri chandramukhi',Solanaceae,Solanum,tuberosum,Kufri chandramukhi,potato,C3,tuber,OTC,field,570,382,188,,,,,,,50 ppb,,25.233333,82.05,India,Kumari and Agrawal 2014,6,K,-0.29933414,-0.355724168,snowball,2014
