CO2 Rise Directly Impairs Crop Nutritional Quality,,,,,,,,,,,,,,,,,,,
Data S3: Bootstrapping Results, see Data S4 for details,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"By S.F. ter Haar*, P.M. van Bodegom, and L. Scherer",,,,,,,,,,,,,,,,,,,
"Institute of Environmental Sciences (CML), Leiden University, Leiden, The Netherlands",,,,,,,,,,,,,,,,,,,
*email: s.f.ter.haar@cml.leidenuniv.nl,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
mean,2.5,97.5,power,p-value,m,class,studytype,plottype,element,c3c4,tissue,Family,Genus,Common Name,Species,Cultivar,2.50%,mean%,97.50%
-0.0727,-0.0788,-0.0667,1,0,231,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,S,C3,reproductive - rice,,,,,,-7.5775,-7.012,-6.4524
-0.0405,-0.0631,-0.02,0.9945,0.0001,141,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,S,C3,AG,,,,,,-6.115,-3.9691,-1.9801
-0.0592,-0.1079,-0.0105,0.0611,0.0152,14,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,S,C3,BG,,,,,,-10.2283,-5.7482,-1.0445
-0.0301,-0.0401,-0.0212,1,0,146,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,S,C3,reproductive,,,,,,-3.9307,-2.9652,-2.0977
0.0429,0.0126,0.0733,0.8931,0.0045,55,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,S,C3,reproductive,,,,,,1.268,4.3834,7.6053
-0.0274,-0.0728,0.0187,0.0678,0.2581,12,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,S,C3,reproductive - rice,,,,,,-7.0213,-2.7028,1.8876
-0.0041,-0.0314,0.0249,0.9337,0.7637,57,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Sc,C3,reproductive - rice,,,,,,-3.0912,-0.4092,2.5213
0.1024,0.0564,0.1501,0.5364,0,312,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Se,C3,reproductive,,,,,,5.8021,10.7827,16.195
-0.4796,-1.0436,0.0757,0.1271,0.2194,6,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Se,C3,reproductive - rice,,,,,,-64.7815,-38.0969,7.8639
-0.1036,-0.1139,-0.0957,1,0,20,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Si,C3,reproductive,,,,,,-10.7653,-9.8414,-9.1263
0.0782,0.0439,0.1112,0.8357,0,61,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Si,C3,reproductive - rice,,,,,,4.4878,8.1339,11.7618
-0.026,-0.0389,-0.0135,1,0.0001,288,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Sr,C3,reproductive,,,,,,-3.8153,-2.5665,-1.3409
-0.0841,-0.1207,-0.0452,0.0594,0,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Sr,C3,reproductive - rice,,,,,,-11.37,-8.0661,-4.4194
-0.0089,-0.072,0.055,0.334,0.7841,57,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,V,C3,reproductive - rice,,,,,,-6.9469,-0.8861,5.6541
-0.01,-0.0475,0.0221,0.8363,0.5875,36,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Zn,C3,BG,,,,,,-4.639,-0.995,2.2346
-0.1198,-0.1291,-0.1104,1,0,1180,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Zn,C3,reproductive,,,,,,-12.1114,-11.2902,-10.4524
-0.0324,-0.0423,-0.0228,1,0,423,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Zn,C3,reproductive - rice,,,,,,-4.1418,-3.1881,-2.2542
-0.0066,-0.0259,0.0151,0.9984,0.5292,181,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,Zn,C3,AG,,,,,,-2.5567,-0.6578,1.5215
-0.061,-0.0722,-0.0498,0.049,0,9,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,Zn,C3,BG,,,,,,-6.9655,-5.9177,-4.858
-0.1427,-0.1761,-0.1113,0.8691,0,36,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Zn,C3,BG,,,,,,-16.1466,-13.2986,-10.533
-0.0354,-0.0419,-0.0291,1,0,572,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,Zn,C3,reproductive,,,,,,-4.1034,-3.4781,-2.8681
-0.0489,-0.0732,-0.0245,0.9806,0.0002,79,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Zn,C3,reproductive,,,,,,-7.0585,-4.7724,-2.4202
-0.068,-0.0781,-0.0585,1,0,42,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,Zn,C3,reproductive - rice,,,,,,-7.5128,-6.574,-5.6822
-0.0548,-0.0855,-0.0268,0.076,0.0006,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Zn,C3,reproductive - rice,,,,,,-8.1947,-5.3326,-2.6444
-0.0582,-0.1717,0.0545,0.0646,0.3167,16,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,protein,C3,BG,,,,,,-15.7768,-5.6539,5.6012
-0.0921,-0.0974,-0.0867,1,0,372,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,protein,C3,reproductive,,,,,,-9.2807,-8.7986,-8.3048
-0.0857,-0.0925,-0.0788,1,0,174,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,protein,C3,reproductive - rice,,,,,,-8.8351,-8.213,-7.5775
0.2149,0.1084,0.3072,0.0501,0,9,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,protein,C3,AG,,,,,,11.4493,23.9738,35.9613
-0.0716,-0.0777,-0.066,0.0495,0,9,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,protein,C3,BG,,,,,,-7.4758,-6.9097,-6.3869
0.0053,-0.0033,0.0139,1,0.2272,287,c3c4+element+plottype+tissueAgg+studytypeSimple,indoor,pot,protein,C3,reproductive,,,,,,-0.3295,0.5314,1.3997
-0.0914,-0.138,-0.0501,0.6674,0.0003,50,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,protein,C3,reproductive,,,,,,-12.8901,-8.7347,-4.8866
-0.2042,-0.2465,-0.1673,0.0792,0,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,protein,C3,reproductive - rice,,,,,,-21.8469,-18.4701,-15.4054
0.0281,0.001,0.0557,0.9503,0.0427,32,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,B,C4,reproductive,,,,,,0.1001,2.8499,5.728
0.1109,0.0535,0.1726,0.0546,0.0003,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,B,C4,reproductive,,,,,,5.4957,11.7283,18.8391
0.0446,-0.0063,0.0933,0.5258,0.0784,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Ca,C4,reproductive,,,,,,-0.628,4.561,9.7791
-0.0165,-0.042,0.0071,0.0727,0.1902,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Ca,C4,reproductive,,,,,,-4.113,-1.6365,0.7125
0.0103,-0.0637,0.1002,0.174,0.8094,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Cu,C4,reproductive,,,,,,-6.1714,1.0353,10.5392
0.0558,-0.0556,0.1601,0.0697,0.3154,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Cu,C4,reproductive,,,,,,-5.4083,5.7386,17.3628
0.0548,-0.0182,0.1508,0.1442,0.2062,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Fe,C4,reproductive,,,,,,-1.8035,5.6329,16.2764
-0.0286,-0.1031,0.0495,0.0648,0.4698,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Fe,C4,reproductive,,,,,,-9.7963,-2.8195,5.0746
0.0098,-0.0082,0.0303,1,0.3291,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,K,C4,reproductive,,,,,,-0.8166,0.9848,3.0764
0.0308,-0.0264,0.0982,0.0569,0.3377,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,K,C4,reproductive,,,,,,-2.6055,3.1279,10.3183
-0.0318,-0.049,-0.0148,0.9999,0.0005,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Mg,C4,reproductive,,,,,,-4.7819,-3.13,-1.4691
0.0971,-0.0215,0.2289,0.0636,0.1102,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Mg,C4,reproductive,,,,,,-2.1271,10.1971,25.7216
-0.017,-0.038,0.0037,0.9958,0.1121,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Mn,C4,reproductive,,,,,,-3.7287,-1.6856,0.3707
0.0649,0.0016,0.1392,0.0553,0.0615,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Mn,C4,reproductive,,,,,,0.1601,6.7052,14.9354
-0.0325,-0.0572,-0.0084,0.9799,0.0087,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,N,C4,reproductive,,,,,,-5.5595,-3.1978,-0.8365
-0.0783,-0.1062,-0.0523,0.0736,0,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,N,C4,reproductive,,,,,,-10.0755,-7.5313,-5.0956
-0.0325,-0.0572,-0.0088,0.9822,0.0086,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,N proxy,C4,reproductive,,,,,,-5.5595,-3.1978,-0.8761
-0.0782,-0.1062,-0.0523,0.0715,0,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,N proxy,C4,reproductive,,,,,,-10.0755,-7.5221,-5.0956
-0.0248,-0.0462,-0.0015,0.9946,0.0288,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,P,C4,reproductive,,,,,,-4.5149,-2.4495,-0.1499
0.0653,0.0459,0.0842,0.0708,0,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,P,C4,reproductive,,,,,,4.697,6.7479,8.7846
0.0389,-0.0221,0.1022,0.3356,0.2232,32,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Phyt,C4,reproductive,,,,,,-2.1858,3.9667,10.7605
0.0117,-0.0054,0.0282,1,0.1751,32,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,S,C4,reproductive,,,,,,-0.5385,1.1769,2.8601
-0.0296,-0.0485,-0.0113,0.9994,0.0013,38,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,field,Zn,C4,reproductive,,,,,,-4.7343,-2.9166,-1.1236
0.0026,-0.0182,0.0218,0.0712,0.7962,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,Zn,C4,reproductive,,,,,,-1.8035,0.2603,2.2039
-0.0785,-0.1062,-0.0526,0.0715,0,18,c3c4+element+plottype+tissueAgg+studytypeSimple,outdoor,pot,protein,C4,reproductive,,,,,,-10.0755,-7.5498,-5.1241
0.0402,-0.0088,0.0822,0.0888,0.0881,18,c3c4+Family+element,,,Ca,C3,,Amaranthaceae,,,,,-0.8761,4.1019,8.5673
-0.1435,-0.1498,-0.1373,0.0642,0,15,c3c4+Family+element,,,Cu,C3,,Amaranthaceae,,,,,-13.912,-13.3679,-12.8291
-0.167,-0.2516,-0.0843,0.0552,0.0008,18,c3c4+Family+element,,,Fe,C3,,Amaranthaceae,,,,,-22.2444,-15.38,-8.0845
-0.0196,-0.0409,0.0044,0.9926,0.0929,25,c3c4+Family+element,,,K,C3,,Amaranthaceae,,,,,-4.0075,-1.9409,0.441
-0.128,-0.2438,-0.0221,0.066,0.0204,18,c3c4+Family+element,,,Mg,C3,,Amaranthaceae,,,,,-21.6356,-12.0147,-2.1858
-0.2023,-0.2224,-0.182,0.06,0,15,c3c4+Family+element,,,Mn,C3,,Amaranthaceae,,,,,-19.9405,-18.315,-16.6399
-0.1664,-0.172,-0.1608,0.0627,0,15,c3c4+Family+element,,,N,C3,,Amaranthaceae,,,,,-15.8021,-15.3293,-14.8538
-0.1664,-0.172,-0.1608,0.0594,0,15,c3c4+Family+element,,,N proxy,C3,,Amaranthaceae,,,,,-15.8021,-15.3293,-14.8538
-0.1747,-0.2585,-0.0929,0.0567,0,10,c3c4+Family+element,,,Na,C3,,Amaranthaceae,,,,,-22.7791,-16.0291,-8.8715
-0.0549,-0.0637,-0.046,0.0493,0,15,c3c4+Family+element,,,P,C3,,Amaranthaceae,,,,,-6.1714,-5.342,-4.4958
-0.0385,-0.0616,-0.0162,0.0671,0.0013,15,c3c4+Family+element,,,S,C3,,Amaranthaceae,,,,,-5.9741,-3.7768,-1.6069
-0.1715,-0.2069,-0.1361,0.0643,0,15,c3c4+Family+element,,,Zn,C3,,Amaranthaceae,,,,,-18.6899,-15.76,-12.7245
0.3356,0.1903,0.4805,0.056,0,9,c3c4+Family+element,,,Ca,C3,,Apiaceae,,,,,20.9612,39.8779,61.6883
0.2286,0.0386,0.4345,0.0417,0.0074,9,c3c4+Family+element,,,Cu,C3,,Apiaceae,,,,,3.9355,25.6839,54.4191
0.065,0.0041,0.1552,0.0657,0.0657,9,c3c4+Family+element,,,Fe,C3,,Apiaceae,,,,,0.4108,6.7159,16.7892
-0.0131,-0.0376,0.0111,0.0755,0.3619,9,c3c4+Family+element,,,K,C3,,Apiaceae,,,,,-3.6902,-1.3015,1.1162
0.059,-0.0431,0.1734,0.0434,0.291,9,c3c4+Family+element,,,Mg,C3,,Apiaceae,,,,,-4.2184,6.0775,18.9342
0.0727,0.039,0.1074,0.0616,0,9,c3c4+Family+element,,,Mn,C3,,Apiaceae,,,,,3.977,7.5408,11.338
-0.0096,-0.0349,0.0154,0.1287,0.6886,6,c3c4+Family+element,,,P,C3,,Apiaceae,,,,,-3.4298,-0.9554,1.5519
0.3602,0.1321,0.5746,0.0529,0.0003,9,c3c4+Family+element,,,Zn,C3,,Apiaceae,,,,,14.1222,43.3616,77.642
0.0205,0.009,0.0325,1,0.0007,108,c3c4+Family+element,,,B,C3,,Asteraceae,,,,,0.9041,2.0712,3.3034
-0.0039,-0.0133,0.0059,1,0.4284,50,c3c4+Family+element,,,C,C3,,Asteraceae,,,,,-1.3212,-0.3892,0.5917
-0.0105,-0.0226,0.0021,1,0.0936,137,c3c4+Family+element,,,Ca,C3,,Asteraceae,,,,,-2.2347,-1.0445,0.2102
0.0298,0.013,0.0475,0.9998,0.0011,130,c3c4+Family+element,,,Cu,C3,,Asteraceae,,,,,1.3085,3.0248,4.8646
-0.072,-0.1206,-0.0184,0.4306,0.0057,134,c3c4+Family+element,,,Fe,C3,,Asteraceae,,,,,-11.3612,-6.9469,-1.8232
-0.016,-0.022,-0.0098,1,0,137,c3c4+Family+element,,,K,C3,,Asteraceae,,,,,-2.176,-1.5873,-0.9752
-0.0178,-0.0299,-0.0059,1,0.0044,137,c3c4+Family+element,,,Mg,C3,,Asteraceae,,,,,-2.9457,-1.7643,-0.5883
0.0149,-0.0082,0.0372,0.9909,0.2042,130,c3c4+Family+element,,,Mn,C3,,Asteraceae,,,,,-0.8166,1.5012,3.7901
-0.0466,-0.0576,-0.0359,1,0,137,c3c4+Family+element,,,N,C3,,Asteraceae,,,,,-5.5973,-4.5531,-3.5263
-0.0464,-0.0574,-0.0356,1,0,137,c3c4+Family+element,,,N proxy,C3,,Asteraceae,,,,,-5.5784,-4.534,-3.4974
-0.1608,-0.1886,-0.132,0.9306,0,36,c3c4+Family+element,,,Na,C3,,Asteraceae,,,,,-17.1882,-14.8538,-12.3659
-0.012,-0.0174,-0.0065,1,0,137,c3c4+Family+element,,,P,C3,,Asteraceae,,,,,-1.7249,-1.1928,-0.6479
-0.0579,-0.0923,-0.0258,0.8537,0.0009,84,c3c4+Family+element,,,S,C3,,Asteraceae,,,,,-8.8168,-5.6256,-2.547
-0.0236,-0.0319,-0.0147,1,0,130,c3c4+Family+element,,,Zn,C3,,Asteraceae,,,,,-3.1397,-2.3324,-1.4592
-0.0191,-0.0887,0.0345,0.4251,0.4854,29,c3c4+Family+element,,,C,C3,,Brassicaceae,,,,,-8.488,-1.8919,3.5102
-0.0433,-0.0666,-0.0196,0.9881,0.0004,75,c3c4+Family+element,,,Ca,C3,,Brassicaceae,,,,,-6.4431,-4.2376,-1.9409
-0.2251,-0.3446,-0.048,0.0443,0.0022,7,c3c4+Family+element,,,Cd,C3,,Brassicaceae,,,,,-29.1496,-20.1564,-4.6866
0.0429,0.0376,0.0482,0.1236,0,6,c3c4+Family+element,,,Cr,C3,,Brassicaceae,,,,,3.8316,4.3834,4.9381
-0.0292,-0.053,-0.0084,0.9894,0.0122,52,c3c4+Family+element,,,Cu,C3,,Brassicaceae,,,,,-5.162,-2.8778,-0.8365
-0.058,-0.08,-0.0383,0.9951,0,64,c3c4+Family+element,,,Fe,C3,,Brassicaceae,,,,,-7.6884,-5.635,-3.7576
0.0286,0.0081,0.0496,0.9977,0.0064,63,c3c4+Family+element,,,K,C3,,Brassicaceae,,,,,0.8133,2.9013,5.0851
-0.0367,-0.0543,-0.019,0.9999,0,75,c3c4+Family+element,,,Mg,C3,,Brassicaceae,,,,,-5.2852,-3.6035,-1.8821
-0.0066,-0.0363,0.023,0.9085,0.6631,52,c3c4+Family+element,,,Mn,C3,,Brassicaceae,,,,,-3.5649,-0.6578,2.3267
0.0437,-0.0766,0.1493,0.0576,0.4605,10,c3c4+Family+element,,,Mo,C3,,Brassicaceae,,,,,-7.374,4.4669,16.1021
-0.036,-0.0511,-0.0204,1,0,69,c3c4+Family+element,,,N,C3,,Brassicaceae,,,,,-4.9816,-3.536,-2.0193
-0.0371,-0.0498,-0.0245,1,0,88,c3c4+Family+element,,,N proxy,C3,,Brassicaceae,,,,,-4.858,-3.642,-2.4202
0.1555,0.053,0.3085,0.0447,0.0033,7,c3c4+Family+element,,,Na,C3,,Brassicaceae,,,,,5.443,16.8242,36.1382
0.0564,0.0113,0.1016,0.0625,0.0171,10,c3c4+Family+element,,,Ni,C3,,Brassicaceae,,,,,1.1364,5.8021,10.6941
-0.0404,-0.0784,-0.0045,0.7771,0.0314,57,c3c4+Family+element,,,P,C3,,Brassicaceae,,,,,-7.5405,-3.9595,-0.449
-0.2638,-0.4677,-0.0641,0.0582,0.0143,10,c3c4+Family+element,,,Pb,C3,,Brassicaceae,,,,,-37.3559,-23.1873,-6.2089
-0.0279,-0.0451,-0.0099,0.9999,0.0027,66,c3c4+Family+element,,,S,C3,,Brassicaceae,,,,,-4.4098,-2.7514,-0.9851
-0.0891,-0.112,-0.0673,0.9929,0,64,c3c4+Family+element,,,Zn,C3,,Brassicaceae,,,,,-10.5956,-8.5246,-6.5085
-0.0441,-0.0578,-0.0299,1,0,22,c3c4+Family+element,,,protein,C3,,Brassicaceae,,,,,-5.6161,-4.3142,-2.9457
0.0355,-0.0371,0.1579,0.0635,0.5954,19,c3c4+Family+element,,,Ca,C3,,Cucurbitaceae,,,,,-3.642,3.6138,17.1049
-0.0333,-0.0507,-0.0149,0.0417,0,4,c3c4+Family+element,,,Cu,C3,,Cucurbitaceae,,,,,-4.9436,-3.2752,-1.479
-0.0733,-0.1032,-0.0442,0.0601,0,7,c3c4+Family+element,,,Fe,C3,,Cucurbitaceae,,,,,-9.8053,-7.0678,-4.3237
-0.0225,-0.0505,0.0077,0.0649,0.1334,19,c3c4+Family+element,,,K,C3,,Cucurbitaceae,,,,,-4.9246,-2.2249,0.773
-0.0305,-0.059,0.0076,0.0502,0.0672,19,c3c4+Family+element,,,Mg,C3,,Cucurbitaceae,,,,,-5.7293,-3.004,0.7629
0.0008,-0.0199,0.0201,0.0659,0.9422,7,c3c4+Family+element,,,Mn,C3,,Cucurbitaceae,,,,,-1.9703,0.08,2.0303
-0.0751,-0.0994,-0.0506,0.0724,0,4,c3c4+Family+element,,,Mo,C3,,Cucurbitaceae,,,,,-9.462,-7.2349,-4.9341
-0.0226,-0.0353,-0.01,0.0625,0.0002,16,c3c4+Family+element,,,N,C3,,Cucurbitaceae,,,,,-3.4684,-2.2347,-0.995
-0.0256,-0.0376,-0.0134,0.0596,0,18,c3c4+Family+element,,,N proxy,C3,,Cucurbitaceae,,,,,-3.6902,-2.5275,-1.3311
-0.0003,-0.0298,0.0258,0.066,0.9816,7,c3c4+Family+element,,,Na,C3,,Cucurbitaceae,,,,,-2.936,-0.03,2.6136
-0.0296,-0.0524,-0.0008,0.0545,0.0251,19,c3c4+Family+element,,,P,C3,,Cucurbitaceae,,,,,-5.1051,-2.9166,-0.08
-0.0072,-0.0192,0.0059,0.0602,0.2818,7,c3c4+Family+element,,,S,C3,,Cucurbitaceae,,,,,-1.9017,-0.7174,0.5917
-0.0298,-0.0868,0.0258,0.0728,0.3279,7,c3c4+Family+element,,,Zn,C3,,Cucurbitaceae,,,,,-8.314,-2.936,2.6136
-0.0491,-0.0575,-0.0407,0.2511,0,2,c3c4+Family+element,,,protein,C3,,Cucurbitaceae,,,,,-5.5878,-4.7914,-3.9883
0.0109,-0.0057,0.0279,1,0.2018,291,c3c4+Family+element,,,Al,C3,,Fabaceae,,,,,-0.5684,1.096,2.8293
-0.0695,-0.084,-0.0548,1,0,288,c3c4+Family+element,,,As,C3,,Fabaceae,,,,,-8.0569,-6.714,-5.3326
-0.0774,-0.0871,-0.0679,1,0,661,c3c4+Family+element,,,B,C3,,Fabaceae,,,,,-8.3415,-7.448,-6.5646
0.0451,0.033,0.0578,1,0,107,c3c4+Family+element,,,C,C3,,Fabaceae,,,,,3.3551,4.6132,5.9503
-0.0418,-0.0533,-0.031,1,0,952,c3c4+Family+element,,,Ca,C3,,Fabaceae,,,,,-5.1904,-4.0938,-3.0524
-0.1853,-0.2005,-0.1702,1,0,288,c3c4+Family+element,,,Cd,C3,,Fabaceae,,,,,-18.1679,-16.9145,-15.6504
-0.0265,-0.0387,-0.0144,1,0,288,c3c4+Family+element,,,Co,C3,,Fabaceae,,,,,-3.7961,-2.6152,-1.4297
-0.0051,-0.0177,0.0089,1,0.4519,645,c3c4+Family+element,,,Cu,C3,,Fabaceae,,,,,-1.7544,-0.5087,0.894
-0.0713,-0.0793,-0.0632,1,0,1138,c3c4+Family+element,,,Fe,C3,,Fabaceae,,,,,-7.6237,-6.8818,-6.1244
-0.0107,-0.0166,-0.0048,1,0.0005,941,c3c4+Family+element,,,K,C3,,Fabaceae,,,,,-1.6463,-1.0643,-0.4788
-0.0056,-0.0119,0.001,1,0.0862,944,c3c4+Family+element,,,Mg,C3,,Fabaceae,,,,,-1.1829,-0.5584,0.1001
-0.0709,-0.0775,-0.0642,1,0,1135,c3c4+Family+element,,,Mn,C3,,Fabaceae,,,,,-7.4573,-6.8445,-6.2183
-0.0165,-0.0551,0.0224,0.7124,0.4105,288,c3c4+Family+element,,,Mo,C3,,Fabaceae,,,,,-5.3609,-1.6365,2.2653
-0.0093,-0.018,0.0006,1,0.0511,351,c3c4+Family+element,,,N,C3,,Fabaceae,,,,,-1.7839,-0.9257,0.06
0.0056,-0.0009,0.0125,1,0.0955,608,c3c4+Family+element,,,N proxy,C3,,Fabaceae,,,,,-0.09,0.5616,1.2578
0.0043,-0.0084,0.0171,1,0.5059,336,c3c4+Family+element,,,Na,C3,,Fabaceae,,,,,-0.8365,0.4309,1.7247
0.1246,0.111,0.1386,1,0,288,c3c4+Family+element,,,Ni,C3,,Fabaceae,,,,,11.7395,13.2695,14.8665
-0.0172,-0.0227,-0.0113,1,0,983,c3c4+Family+element,,,P,C3,,Fabaceae,,,,,-2.2444,-1.7053,-1.1236
-0.0251,-0.0398,-0.0108,1,0.0006,146,c3c4+Family+element,,,Phyt,C3,,Fabaceae,,,,,-3.9018,-2.4788,-1.0742
0.2758,0.252,0.2995,0.9849,0,288,c3c4+Family+element,,,Rb,C3,,Fabaceae,,,,,28.6596,31.7584,34.9184
-0.0532,-0.0603,-0.0463,1,0,554,c3c4+Family+element,,,S,C3,,Fabaceae,,,,,-5.8518,-5.181,-4.5245
0.1045,0.0562,0.1519,0.5484,0,288,c3c4+Family+element,,,Se,C3,,Fabaceae,,,,,5.7809,11.0155,16.4044
-0.0259,-0.0381,-0.0135,1,0,288,c3c4+Family+element,,,Sr,C3,,Fabaceae,,,,,-3.7383,-2.5567,-1.3409
-0.0701,-0.0778,-0.0626,1,0,1135,c3c4+Family+element,,,Zn,C3,,Fabaceae,,,,,-7.4851,-6.7699,-6.0681
0.024,0.0162,0.0321,1,0,273,c3c4+Family+element,,,protein,C3,,Fabaceae,,,,,1.6332,2.429,3.2621
0.0087,-0.0573,0.0755,0.3072,0.7983,108,c3c4+Family+element,,,Al,C3,,Poaceae,,,,,-5.5689,0.8738,7.8423
-0.0541,-0.077,-0.0296,0.0555,0,16,c3c4+Family+element,,,As,C3,,Poaceae,,,,,-7.411,-5.2663,-2.9166
0.0417,0.0178,0.0659,0.9814,0.0006,219,c3c4+Family+element,,,B,C3,,Poaceae,,,,,1.7959,4.2582,6.812
-0.0381,-0.0591,-0.0138,0.0561,0.001,18,c3c4+Family+element,,,Ba,C3,,Poaceae,,,,,-5.7387,-3.7383,-1.3705
0.037,-0.0463,0.1226,0.2018,0.3843,57,c3c4+Family+element,,,Br,C3,,Poaceae,,,,,-4.5245,3.7693,13.0432
-0.0004,-0.0074,0.0058,1,0.9147,88,c3c4+Family+element,,,C,C3,,Poaceae,,,,,-0.7373,-0.04,0.5817
-0.0298,-0.0445,-0.0149,1,0,967,c3c4+Family+element,,,Ca,C3,,Poaceae,,,,,-4.3524,-2.936,-1.479
0.364,0.2075,0.5406,0.0763,0.0001,80,c3c4+Family+element,,,Cd,C3,,Poaceae,,,,,23.0598,43.9074,71.7037
0.2627,0.1388,0.3989,0.103,0,119,c3c4+Family+element,,,Cr,C3,,Poaceae,,,,,14.8894,30.0437,49.0185
-0.0716,-0.0822,-0.061,1,0,895,c3c4+Family+element,,,Cu,C3,,Poaceae,,,,,-7.8912,-6.9097,-5.9177
-0.0599,-0.0715,-0.0481,1,0,1080,c3c4+Family+element,,,Fe,C3,,Poaceae,,,,,-6.9004,-5.8141,-4.6962
-0.0442,-0.0528,-0.0356,1,0,816,c3c4+Family+element,,,K,C3,,Poaceae,,,,,-5.143,-4.3237,-3.4974
-0.0637,-0.0705,-0.0569,1,0,867,c3c4+Family+element,,,Mg,C3,,Poaceae,,,,,-6.8072,-6.1714,-5.5311
-0.044,-0.0609,-0.0271,1,0,765,c3c4+Family+element,,,Mn,C3,,Poaceae,,,,,-5.9083,-4.3046,-2.6736
-0.0847,-0.144,-0.0268,0.3995,0.0043,191,c3c4+Family+element,,,Mo,C3,,Poaceae,,,,,-13.4112,-8.1212,-2.6444
-0.0989,-0.1053,-0.0925,1,0,695,c3c4+Family+element,,,N,C3,,Poaceae,,,,,-9.9946,-9.4167,-8.8351
-0.0978,-0.1026,-0.093,1,0,1083,c3c4+Family+element,,,N proxy,C3,,Poaceae,,,,,-9.7512,-9.317,-8.8806
0.0128,-0.041,0.0667,0.4412,0.6371,322,c3c4+Family+element,,,Na,C3,,Poaceae,,,,,-4.0171,1.2882,6.8975
0.0768,0.0242,0.131,0.4306,0.0047,119,c3c4+Family+element,,,Ni,C3,,Poaceae,,,,,2.4495,7.9826,13.9968
-0.0361,-0.0427,-0.0296,1,0,989,c3c4+Family+element,,,P,C3,,Poaceae,,,,,-4.1801,-3.5456,-2.9166
